State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Production_N
West Bengal,COOCHBEHAR,2015,RABI,Maize,4075,23818,4074.999
West Bengal,MEDINIPUR EAST,2016,KHARIF,Jute,521,9758,520.999
West Bengal,JALPAIGURI,2015,WINTER,Rice,176016,399148,176015.999
West Bengal,MALDAH,2011,RABI,Linseed,342,183,341.999
West Bengal,COOCHBEHAR,2009,SUMMER,Moong(Green Gram),417,139,416.999
West Bengal,24 PARAGANAS NORTH,2019,RABI,Linseed,11,5,10.999
West Bengal,DINAJPUR UTTAR,2013,SUMMER,Sesamum,724,304,723.999
West Bengal,BIRBHUM,2014,ANNUAL,Sugarcane,654,64987,653.999
West Bengal,BIRBHUM,2018,RABI,Other  Rabi pulses,95,28,94.999
West Bengal,24 PARAGANAS SOUTH,2019,KHARIF,Cotton(lint),615,1574,614.999
West Bengal,BANKURA,2014,SUMMER,Groundnut,462,799,461.999
West Bengal,NADIA,2013,RABI,Gram,4264,3144,4263.999
West Bengal,MEDINIPUR WEST,2018,RABI,Potato,61301,1224122,61300.999
West Bengal,MEDINIPUR WEST,2013,ANNUAL,Turmeric,1375,1799,1374.999
West Bengal,NADIA,2010,ANNUAL,Tobacco,45,38,44.999
West Bengal,BARDHAMAN,2012,KHARIF,Urad,257,231,256.999
West Bengal,BARDHAMAN,2012,KHARIF,Moong(Green Gram),35,16,34.999
West Bengal,MEDINIPUR WEST,2011,KHARIF,Niger seed,55,22,54.999
West Bengal,PURULIA,2017,RABI,Groundnut,22,19,21.999
West Bengal,24 PARAGANAS SOUTH,2014,RABI,Peas & beans (Pulses),1442,1869,1441.999
West Bengal,BARDHAMAN,2011,KHARIF,Jute,13800,229588,13799.999
West Bengal,COOCHBEHAR,2012,KHARIF,Mesta,272,2305,271.999
West Bengal,COOCHBEHAR,2013,RABI,Urad,3365,2524,3364.999
West Bengal,HOOGHLY,2019,RABI,Arhar/Tur,101,120,100.999
West Bengal,HOWRAH,2017,SUMMER,Groundnut,5308,15508,5307.999
West Bengal,BIRBHUM,2010,RABI,Khesari,1399,1538,1398.999
West Bengal,COOCHBEHAR,2012,ANNUAL,Dry chillies,7740,17170,7739.999
West Bengal,MURSHIDABAD,2019,AUTUMN,Groundnut,32,47,31.999
West Bengal,MEDINIPUR EAST,2019,RABI,Masoor,12,15,11.999
West Bengal,24 PARAGANAS NORTH,2010,RABI,Arhar/Tur,40,44,39.999
West Bengal,JALPAIGURI,2009,ANNUAL,Tobacco,476,307,475.999
West Bengal,BANKURA,2012,SUMMER,Moong(Green Gram),11,9,10.999
West Bengal,BARDHAMAN,2009,RABI,Masoor,1041,863,1040.999
West Bengal,MEDINIPUR WEST,2011,RABI,Gram,13,10,12.999
West Bengal,BARDHAMAN,2012,RABI,Peas & beans (Pulses),22,16,21.999
West Bengal,MURSHIDABAD,2015,KHARIF,Sunflower,75,83,74.999
West Bengal,DINAJPUR DAKSHIN,2017,WINTER,Rice,158532,440334,158531.999
West Bengal,JALPAIGURI,2010,KHARIF,Dry ginger,1307,2997,1306.999
West Bengal,BARDHAMAN,2012,RABI,Linseed,19,3,18.999
West Bengal,BANKURA,2015,RABI,Rapeseed &Mustard,8186,6687,8185.999
West Bengal,BANKURA,2013,ANNUAL,Tobacco,11,3,10.999
West Bengal,DINAJPUR DAKSHIN,2013,ANNUAL,Potato,4841,86286,4840.999
West Bengal,BANKURA,2013,KHARIF,Cotton(lint),332,242,331.999
West Bengal,JALPAIGURI,2014,KHARIF,Sunflower,7,10,6.999
West Bengal,DINAJPUR DAKSHIN,2009,RABI,Masoor,107,58,106.999
West Bengal,MEDINIPUR EAST,2011,KHARIF,Cotton(lint),109,763,108.999
West Bengal,PURULIA,2015,SUMMER,Rice,105,281,104.999
West Bengal,DINAJPUR DAKSHIN,2015,RABI,Khesari,3,3,2.999
West Bengal,DINAJPUR DAKSHIN,2013,RABI,Masoor,196,98,195.999
West Bengal,MURSHIDABAD,2010,RABI,Barley,562,468,561.999
West Bengal,JALPAIGURI,2009,WINTER,Rice,182997,275572,182996.999
West Bengal,BARDHAMAN,2015,RABI,Khesari,510,664,509.999
West Bengal,MALDAH,2017,RABI,Rapeseed &Mustard,33653,35740,33652.999
West Bengal,MEDINIPUR WEST,2018,KHARIF,Horse-gram,617,323,616.999
West Bengal,BANKURA,2018,SUMMER,Rice,40009,120562,40008.999
West Bengal,MEDINIPUR EAST,2013,AUTUMN,Rice,14820,4224,14819.999
West Bengal,NADIA,2017,SUMMER,Maize,1780,4694,1779.999
West Bengal,DINAJPUR DAKSHIN,2018,SUMMER,Moong(Green Gram),2,1,1.999
West Bengal,BARDHAMAN,2010,SUMMER,Rice,207192,558393,207191.999
West Bengal,MEDINIPUR EAST,2019,SUMMER,Sesamum,250,281,249.999
West Bengal,MURSHIDABAD,2012,SUMMER,Sesamum,13242,13277,13241.999
West Bengal,COOCHBEHAR,2012,RABI,Moong(Green Gram),180,131,179.999
West Bengal,MURSHIDABAD,2015,SUMMER,Moong(Green Gram),347,221,346.999
West Bengal,MEDINIPUR EAST,2016,SUMMER,Moong(Green Gram),192,133,191.999
West Bengal,BANKURA,2014,SUMMER,Groundnut,462,799,461.999
West Bengal,24 PARAGANAS SOUTH,2011,KHARIF,Dry ginger,307,360,306.999
West Bengal,DARJEELING,2012,RABI,Arhar/Tur,10,9,9.999
West Bengal,DARJEELING,2013,SUMMER,Rice,1526,3204,1525.999
West Bengal,DINAJPUR DAKSHIN,2013,RABI,Peas & beans (Pulses),16,9,15.999
West Bengal,NADIA,2017,ANNUAL,Sugarcane,1803,182686,1802.999
West Bengal,MALDAH,2011,AUTUMN,Rice,6655,9965,6654.999
West Bengal,NADIA,2011,ANNUAL,Sugarcane,1081,77437,1080.999
West Bengal,BANKURA,2012,SUMMER,Moong(Green Gram),11,9,10.999
West Bengal,PURULIA,2013,WINTER,Rice,297872,738143,297871.999
West Bengal,MEDINIPUR WEST,2012,KHARIF,Dry ginger,1835,2523,1834.999
West Bengal,DARJEELING,2015,RABI,Linseed,92,17,91.999
West Bengal,BARDHAMAN,2011,ANNUAL,Groundnut,2040,3885,2039.999
West Bengal,JALPAIGURI,2010,RABI,Peas & beans (Pulses),213,173,212.999
West Bengal,JALPAIGURI,2015,RABI,Maize,350,1229,349.999
West Bengal,PURULIA,2018,KHARIF,Other Kharif pulses,79,37,78.999
West Bengal,HOOGHLY,2009,ANNUAL,Turmeric,182,328,181.999
West Bengal,BARDHAMAN,2017,KHARIF,Moong(Green Gram),55,31,54.999
West Bengal,MURSHIDABAD,2014,ANNUAL,Sugarcane,5266,335123,5265.999
West Bengal,BIRBHUM,2009,ANNUAL,Sannhamp,186,558,185.999
West Bengal,MEDINIPUR WEST,2018,KHARIF,Castor seed,76,45,75.999
West Bengal,BARDHAMAN,2011,KHARIF,Mesta,5,51,4.999
West Bengal,MEDINIPUR EAST,2011,KHARIF,Cotton(lint),109,763,108.999
West Bengal,MURSHIDABAD,2009,ANNUAL,Potato,10332,245563,10331.999
West Bengal,BARDHAMAN,2018,KHARIF,Sunflower,48,73,47.999
West Bengal,BIRBHUM,2014,WINTER,Rice,301071,805180,301070.999
West Bengal,HOWRAH,2013,ANNUAL,Arecanut,524,1050,523.999
West Bengal,DINAJPUR UTTAR,2010,RABI,Barley,332,469,331.999
West Bengal,DARJEELING,2009,RABI,Masoor,28,16,27.999
West Bengal,DINAJPUR UTTAR,2018,RABI,Urad,370,157,369.999
West Bengal,BIRBHUM,2018,RABI,Safflower,19,8,18.999
West Bengal,MEDINIPUR WEST,2010,RABI,Khesari,250,218,249.999
West Bengal,DARJEELING,2019,AUTUMN,Ragi,9530,10674,9529.999
West Bengal,BANKURA,2019,RABI,Linseed,163,40,162.999
West Bengal,HOOGHLY,2016,RABI,Peas & beans (Pulses),110,130,109.999
West Bengal,BARDHAMAN,2009,ANNUAL,Potato,42413,1132542,42412.999
West Bengal,COOCHBEHAR,2014,SUMMER,Maize,4374,26603,4373.999
West Bengal,BANKURA,2019,SUMMER,Rice,40185,120678,40184.999
West Bengal,NADIA,2018,RABI,Barley,95,143,94.999
West Bengal,BANKURA,2011,KHARIF,Maize,775,2100,774.999
West Bengal,MURSHIDABAD,2012,WINTER,Rice,223835,576385,223834.999
West Bengal,JALPAIGURI,2016,RABI,Maize,450,1494,449.999
West Bengal,MURSHIDABAD,2012,AUTUMN,Sesamum,60,40,59.999
West Bengal,MEDINIPUR WEST,2014,KHARIF,Moong(Green Gram),650,393,649.999
West Bengal,PURULIA,2015,AUTUMN,Sesamum,264,140,263.999
West Bengal,COOCHBEHAR,2009,RABI,Khesari,1091,601,1090.999
West Bengal,PURULIA,2013,KHARIF,Small millets,221,49,220.999
West Bengal,COOCHBEHAR,2010,RABI,Masoor,552,139,551.999
West Bengal,MEDINIPUR EAST,2018,SUMMER,Rice,139959,476928,139958.999
West Bengal,COOCHBEHAR,2018,RABI,Groundnut,220,264,219.999
West Bengal,MURSHIDABAD,2009,ANNUAL,Dry chillies,5210,7450,5209.999
West Bengal,DINAJPUR DAKSHIN,2009,AUTUMN,Rice,9097,16868,9096.999
West Bengal,NADIA,2015,RABI,Linseed,536,322,535.999
West Bengal,JALPAIGURI,2013,KHARIF,Urad,1040,499,1039.999
West Bengal,COOCHBEHAR,2009,RABI,Urad,3395,2512,3394.998
West Bengal,MEDINIPUR WEST,2015,RABI,Wheat,4740,11345,4739.998
West Bengal,MURSHIDABAD,2011,RABI,Peas & beans (Pulses),4112,1859,4111.998
West Bengal,PURULIA,2011,SUMMER,Rice,1336,3319,1335.998
West Bengal,JALPAIGURI,2015,AUTUMN,Sesamum,160,113,159.998
West Bengal,24 PARAGANAS SOUTH,2010,ANNUAL,Arecanut,777,1249,776.998
West Bengal,NADIA,2019,SUMMER,Sesamum,24546,29591,24545.998
West Bengal,HOWRAH,2013,ANNUAL,Sugarcane,60,5265,59.998
West Bengal,BANKURA,2018,RABI,Maize,43,143,42.998
West Bengal,DINAJPUR UTTAR,2012,KHARIF,Sunflower,31,23,30.998
West Bengal,JALPAIGURI,2013,AUTUMN,Maize,3843,12966,3842.998
West Bengal,BANKURA,2010,RABI,Urad,10,5,9.998
West Bengal,BIRBHUM,2018,KHARIF,Mesta,1,13,0.998
West Bengal,24 PARAGANAS NORTH,2014,RABI,Potato,7593,254965,7592.998
West Bengal,MURSHIDABAD,2013,RABI,Masoor,13844,8990,13843.998
West Bengal,24 PARAGANAS SOUTH,2009,RABI,Peas & beans (Pulses),235,150,234.998
West Bengal,MEDINIPUR WEST,2017,KHARIF,Jute,2703,42722,2702.998
West Bengal,MEDINIPUR WEST,2018,RABI,Rapeseed &Mustard,15801,15809,15800.998
West Bengal,COOCHBEHAR,2011,WINTER,Rice,196996,351419,196995.998
West Bengal,24 PARAGANAS NORTH,2014,SUMMER,Rice,88725,276708,88724.998
West Bengal,MEDINIPUR WEST,2019,KHARIF,Sannhamp,206,948,205.998
West Bengal,DARJEELING,2012,WINTER,Sesamum,10,6,9.998
West Bengal,MURSHIDABAD,2012,RABI,Wheat,122557,313427,122556.998
West Bengal,MEDINIPUR WEST,2010,ANNUAL,Arecanut,124,131,123.998
West Bengal,JALPAIGURI,2010,ANNUAL,Sugarcane,118,13335,117.998
West Bengal,24 PARAGANAS SOUTH,2009,RABI,Wheat,3052,5885,3051.998
West Bengal,NADIA,2009,KHARIF,Maize,1743,4830,1742.998
West Bengal,BANKURA,2013,RABI,Moong(Green Gram),22,11,21.998
West Bengal,BARDHAMAN,2014,RABI,Arhar/Tur,12,3,11.998
West Bengal,PURULIA,2011,KHARIF,Urad,11278,4463,11277.998
West Bengal,JALPAIGURI,2010,RABI,Masoor,1530,541,1529.998
West Bengal,JALPAIGURI,2016,SUMMER,Sesamum,1358,757,1357.998
West Bengal,COOCHBEHAR,2019,RABI,Masoor,219,117,218.998
West Bengal,HOOGHLY,2016,KHARIF,Jute,26897,444494,26896.998
West Bengal,MURSHIDABAD,2012,SUMMER,Maize,1881,8686,1880.998
West Bengal,COOCHBEHAR,2019,RABI,Masoor,219,117,218.998
West Bengal,JALPAIGURI,2009,RABI,Peas & beans (Pulses),255,163,254.998
West Bengal,BIRBHUM,2015,AUTUMN,Maize,103,181,102.998
West Bengal,BARDHAMAN,2018,KHARIF,Other Kharif pulses,15,8,14.998
West Bengal,BARDHAMAN,2011,KHARIF,Moong(Green Gram),40,20,39.998
West Bengal,HOOGHLY,2019,SUMMER,Rice,79654,261105,79653.998
West Bengal,COOCHBEHAR,2009,RABI,Khesari,1091,601,1090.998
West Bengal,COOCHBEHAR,2016,RABI,Linseed,1051,365,1050.998
West Bengal,COOCHBEHAR,2012,RABI,Masoor,608,272,607.998
West Bengal,DINAJPUR UTTAR,2019,SUMMER,Sesamum,1187,733,1186.998
West Bengal,JALPAIGURI,2015,RABI,Moong(Green Gram),114,62,113.998
West Bengal,MALDAH,2011,RABI,Peas & beans (Pulses),503,344,502.998
West Bengal,PURULIA,2015,KHARIF,Moong(Green Gram),293,136,292.998
West Bengal,NADIA,2017,KHARIF,Mesta,47,560,46.998
West Bengal,BANKURA,2018,SUMMER,Maize,61,171,60.998
West Bengal,DINAJPUR UTTAR,2011,RABI,Masoor,860,321,859.998
West Bengal,DINAJPUR UTTAR,2013,AUTUMN,Rice,2097,3259,2096.998
West Bengal,BIRBHUM,2011,ANNUAL,Sesamum,3015,2773,3014.998
West Bengal,COOCHBEHAR,2016,RABI,Groundnut,235,244,234.998
West Bengal,DINAJPUR DAKSHIN,2014,RABI,Potato,5379,151092,5378.998
West Bengal,BARDHAMAN,2010,ANNUAL,Turmeric,225,481,224.998
West Bengal,BANKURA,2019,KHARIF,Sunflower,511,814,510.998
West Bengal,MURSHIDABAD,2009,KHARIF,Jowar,1375,594,1374.998
West Bengal,BANKURA,2015,AUTUMN,Groundnut,170,134,169.998
West Bengal,BANKURA,2011,WINTER,Rice,336129,945567,336128.998
West Bengal,HOOGHLY,2015,RABI,Moong(Green Gram),34,26,33.998
West Bengal,DARJEELING,2018,RABI,Barley,510,734,509.998
West Bengal,MEDINIPUR EAST,2015,KHARIF,Jute,671,11736,670.998
West Bengal,DINAJPUR UTTAR,2009,KHARIF,Sunflower,31,23,30.998
West Bengal,COOCHBEHAR,2016,KHARIF,Small millets,720,562,719.998
West Bengal,PURULIA,2016,KHARIF,Urad,9114,2991,9113.998
West Bengal,NADIA,2012,RABI,Moong(Green Gram),172,103,171.998
West Bengal,BANKURA,2013,KHARIF,Jute,2,33,1.998
West Bengal,24 PARAGANAS SOUTH,2017,KHARIF,Urad,70,47,69.998
West Bengal,MALDAH,2016,RABI,Potato,3862,146943,3861.998
West Bengal,MURSHIDABAD,2012,SUMMER,Rice,141921,500939,141920.998
West Bengal,HOOGHLY,2012,SUMMER,Moong(Green Gram),8,7,7.998
West Bengal,DARJEELING,2010,RABI,Linseed,113,23,112.998
West Bengal,24 PARAGANAS NORTH,2010,RABI,Arhar/Tur,40,44,39.998
West Bengal,MURSHIDABAD,2013,RABI,Khesari,8601,7136,8600.998
West Bengal,DARJEELING,2015,RABI,Safflower,8,11,7.998
West Bengal,DARJEELING,2015,RABI,Masoor,11,8,10.998
West Bengal,BANKURA,2016,SUMMER,Sesamum,19687,16489,19686.998
West Bengal,COOCHBEHAR,2012,RABI,Horse-gram,50,32,49.998
West Bengal,MALDAH,2018,WINTER,Rice,135629,462095,135628.998
West Bengal,HOOGHLY,2016,RABI,Masoor,1,1,0.998
West Bengal,MEDINIPUR WEST,2019,AUTUMN,Rice,33141,80300,33140.998
West Bengal,MURSHIDABAD,2011,ANNUAL,Dry chillies,4478,6756,4477.998
West Bengal,MURSHIDABAD,2009,KHARIF,Sunflower,76,115,75.998
West Bengal,MEDINIPUR WEST,2009,KHARIF,Jute,5473,72470,5472.998
West Bengal,DINAJPUR UTTAR,2012,KHARIF,Garlic,196,2584,195.998
West Bengal,MEDINIPUR WEST,2019,KHARIF,Other Kharif pulses,545,429,544.998
West Bengal,NADIA,2014,RABI,Rapeseed &Mustard,63286,69633,63285.998
West Bengal,PURULIA,2013,WINTER,Sesamum,261,105,260.998
West Bengal,JALPAIGURI,2014,AUTUMN,Maize,3857,7323,3856.998
West Bengal,DINAJPUR UTTAR,2009,RABI,Masoor,1354,545,1353.998
West Bengal,MEDINIPUR WEST,2010,ANNUAL,Potato,71334,1519588,71333.998
West Bengal,DARJEELING,2013,RABI,Rapeseed &Mustard,220,119,219.998
West Bengal,COOCHBEHAR,2018,RABI,Masoor,214,89,213.998
West Bengal,DINAJPUR UTTAR,2017,RABI,Barley,8,16,7.998
West Bengal,DINAJPUR UTTAR,2016,RABI,Gram,51,56,50.998
West Bengal,BANKURA,2016,AUTUMN,Sesamum,72,37,71.998
West Bengal,HOOGHLY,2013,RABI,Groundnut,570,855,569.998
West Bengal,JALPAIGURI,2017,ANNUAL,Sugarcane,121,12653,120.998
West Bengal,DARJEELING,2015,RABI,Linseed,92,17,91.998
West Bengal,JALPAIGURI,2015,AUTUMN,Groundnut,10,14,9.998
West Bengal,NADIA,2011,AUTUMN,Rice,41389,93352,41388.998
West Bengal,DINAJPUR UTTAR,2009,KHARIF,Jute,63504,632717,63503.998
West Bengal,MURSHIDABAD,2017,RABI,Gram,5679,6877,5678.998
West Bengal,24 PARAGANAS NORTH,2011,SUMMER,Rice,89707,271884,89706.998
West Bengal,DINAJPUR UTTAR,2016,RABI,Linseed,489,264,488.998
West Bengal,NADIA,2015,RABI,Gram,6147,5241,6146.998
West Bengal,BIRBHUM,2016,SUMMER,Sesamum,5422,2945,5421.998
West Bengal,MALDAH,2018,KHARIF,Horse-gram,223,91,222.998
West Bengal,DINAJPUR DAKSHIN,2013,KHARIF,Sunflower,25,22,24.998
West Bengal,MALDAH,2018,RABI,Gram,3198,3620,3197.998
West Bengal,MEDINIPUR WEST,2009,KHARIF,Niger seed,80,32,79.998
West Bengal,DINAJPUR UTTAR,2013,RABI,Urad,605,454,604.998
West Bengal,DINAJPUR UTTAR,2012,RABI,Urad,671,463,670.998
West Bengal,DINAJPUR DAKSHIN,2013,RABI,Rapeseed &Mustard,23167,17169,23166.998
West Bengal,24 PARAGANAS NORTH,2013,RABI,Khesari,446,571,445.998
West Bengal,BANKURA,2012,SUMMER,Moong(Green Gram),11,9,10.998
West Bengal,BIRBHUM,2010,RABI,Wheat,30128,75649,30127.998
West Bengal,COOCHBEHAR,2016,ANNUAL,Tobacco,16840,25980,16839.998
West Bengal,MEDINIPUR WEST,2011,RABI,Moong(Green Gram),710,490,709.998
West Bengal,BIRBHUM,2015,SUMMER,Sesamum,5277,3919,5276.998
West Bengal,MEDINIPUR WEST,2018,RABI,Linseed,14,4,13.998
West Bengal,MALDAH,2010,KHARIF,Dry ginger,160,220,159.998
West Bengal,24 PARAGANAS SOUTH,2014,RABI,Gram,239,245,238.998
West Bengal,BANKURA,2013,AUTUMN,Maize,302,367,301.998
West Bengal,BIRBHUM,2016,RABI,Rapeseed &Mustard,32282,29807,32281.998
West Bengal,DINAJPUR DAKSHIN,2016,SUMMER,Rice,30807,90832,30806.998
West Bengal,DINAJPUR UTTAR,2017,KHARIF,Urad,1115,757,1114.998
West Bengal,DINAJPUR UTTAR,2011,RABI,Khesari,174,134,173.998
West Bengal,MEDINIPUR EAST,2018,RABI,Wheat,509,1336,508.998
West Bengal,DINAJPUR UTTAR,2013,KHARIF,Moong(Green Gram),625,750,624.998
West Bengal,MEDINIPUR WEST,2011,KHARIF,Bajra,79,31,78.998
West Bengal,COOCHBEHAR,2010,RABI,Moong(Green Gram),60,45,59.998
West Bengal,MALDAH,2010,ANNUAL,Turmeric,963,698,962.998
West Bengal,MALDAH,2009,KHARIF,Maize,10898,31940,10897.998
West Bengal,HOOGHLY,2018,RABI,Arhar/Tur,101,126,100.998
West Bengal,BARDHAMAN,2009,ANNUAL,Sannhamp,103,734,102.998
West Bengal,DARJEELING,2017,KHARIF,Niger seed,63,39,62.998
West Bengal,DINAJPUR UTTAR,2011,KHARIF,Mesta,2409,17683,2408.998
West Bengal,MURSHIDABAD,2016,KHARIF,Jute,157571,2195519,157570.998
West Bengal,NADIA,2016,ANNUAL,Tobacco,10,9,9.998
West Bengal,NADIA,2017,KHARIF,Urad,13362,10317,13361.998
West Bengal,BANKURA,2016,KHARIF,Sunflower,246,363,245.998
West Bengal,COOCHBEHAR,2014,WINTER,Rice,218509,411030,218508.998
West Bengal,DINAJPUR DAKSHIN,2009,KHARIF,Dry ginger,253,344,252.998
West Bengal,24 PARAGANAS SOUTH,2010,RABI,Barley,14,13,13.998
West Bengal,JALPAIGURI,2016,SUMMER,Rice,16929,34497,16928.998
West Bengal,MURSHIDABAD,2011,ANNUAL,Arecanut,81,142,80.998
West Bengal,24 PARAGANAS SOUTH,2011,SUMMER,Moong(Green Gram),5677,2124,5676.998
West Bengal,BARDHAMAN,2013,RABI,Peas & beans (Pulses),80,61,79.998
West Bengal,DINAJPUR UTTAR,2014,KHARIF,Moong(Green Gram),785,1001,784.998
West Bengal,BARDHAMAN,2019,SUMMER,Maize,276,555,275.998
West Bengal,MEDINIPUR EAST,2019,RABI,Masoor,12,15,11.998
West Bengal,24 PARAGANAS SOUTH,2013,ANNUAL,Potato,2587,47973,2586.998
West Bengal,MALDAH,2010,RABI,Khesari,3532,3299,3531.998
West Bengal,24 PARAGANAS NORTH,2018,SUMMER,Maize,129,333,128.998
West Bengal,COOCHBEHAR,2019,RABI,Khesari,307,296,306.998
